                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9574,                 4.3668,                 4.2963,                0.00507,                0.37951,                0.00464,                0.00114,                 3.8591,                 4.0416,                 4.1575,                  7e-05,                  7e-05,                  7e-05
                      2,                 3.7445,                  4.273,                 4.2642,                0.00425,                 0.4022,                0.00559,                0.00167,                 3.8584,                  4.042,                 4.1566,             0.00014851,             0.00014851,             0.00014851
                      3,                 3.7519,                 4.1725,                 4.1973,                0.00427,                0.41009,                0.00572,                0.00177,                 3.8617,                 4.0453,                 4.1562,             0.00022545,             0.00022545,             0.00022545
                      4,                  3.758,                 3.9589,                 4.1379,                0.00658,                 0.3457,                0.00531,                0.00107,                  3.869,                 4.0623,                 4.1566,             0.00030079,             0.00030079,             0.00030079
                      5,                 3.7323,                 3.8728,                  4.067,                0.00513,                0.33872,                 0.0094,                0.00213,                 3.8811,                 4.0845,                  4.156,             0.00037456,             0.00037456,             0.00037456
                      6,                 3.7302,                 3.6884,                 3.9651,                0.00439,                0.31178,                0.00552,                0.00153,                 3.8963,                 4.0611,                 4.1529,             0.00044674,             0.00044674,             0.00044674
                      7,                 3.7023,                 3.6589,                 3.8864,                0.00385,                0.26152,                0.00506,                0.00159,                 3.9016,                   4.01,                 4.1403,             0.00051733,             0.00051733,             0.00051733
                      8,                    3.6,                 3.5414,                 3.8214,                 0.0044,                0.41898,                0.00947,                0.00317,                 3.8261,                 3.8813,                 4.0616,             0.00058634,             0.00058634,             0.00058634
                      9,                 3.5351,                 3.5291,                 3.7216,                0.00425,                0.41504,                0.01224,                0.00345,                 3.9099,                 3.8451,                 4.0965,             0.00065377,             0.00065377,             0.00065377
                     10,                 3.5047,                   3.36,                 3.5635,                0.00404,                0.40796,                0.01369,                0.00473,                 3.9872,                 3.7931,                  4.125,             0.00071961,             0.00071961,             0.00071961
                     11,                 3.2807,                 3.2085,                 3.4245,                0.00404,                0.40796,                0.01369,                0.00473,                 3.9045,                 4.2343,                 3.8315,             0.00078387,             0.00078387,             0.00078387
                     12,                 3.2554,                 3.2767,                 3.4751,                0.00527,                 0.2552,                0.01815,                0.00508,                 3.9337,                  4.133,                 3.7753,             0.00084654,             0.00084654,             0.00084654
                     13,                 3.2169,                 3.2388,                   3.36,                0.00488,                0.26228,                0.02344,                0.00579,                   3.74,                 3.9324,                  3.326,              0.0008812,              0.0008812,              0.0008812
                     14,                 3.0665,                 3.0109,                 3.2499,                0.00441,                0.33004,                0.03197,                0.00808,                 3.7813,                 3.3875,                 3.3781,              0.0008713,              0.0008713,              0.0008713
                     15,                 3.0362,                 2.9568,                 3.1693,                0.00568,                0.27643,                0.03164,                0.00803,                   3.68,                 3.8776,                 3.1827,              0.0008614,              0.0008614,              0.0008614
                     16,                 2.9271,                 2.9511,                 3.0763,                0.41407,                0.12123,                0.02244,                0.00593,                 3.6848,                 3.4163,                 3.1037,              0.0008515,              0.0008515,              0.0008515
                     17,                 2.8926,                 2.8397,                 3.0458,                0.44189,                0.05181,                 0.0323,                0.00734,                 3.4142,                 6.9411,                 2.6785,              0.0008416,              0.0008416,              0.0008416
                     18,                   2.77,                 2.8434,                 2.9413,                0.44457,                0.11276,                0.05253,                0.01818,                 3.3176,                 3.6101,                  2.693,              0.0008317,              0.0008317,              0.0008317
                     19,                 2.7949,                 2.9048,                 3.0126,                0.83844,                0.08671,                 0.0514,                0.01524,                 3.2915,                 6.4606,                 3.1125,              0.0008218,              0.0008218,              0.0008218
                     20,                 2.7441,                  2.706,                 2.8853,                0.87754,                0.08289,                0.08423,                0.02507,                 3.0713,                  5.348,                 2.8089,              0.0008119,              0.0008119,              0.0008119
                     21,                 2.6961,                 2.6993,                 2.7599,                0.88908,                0.06974,                0.07272,                0.02429,                  3.051,                 3.3876,                 2.7325,               0.000802,               0.000802,               0.000802
                     22,                 2.5772,                 2.5601,                 2.7509,                0.84822,                0.06579,                0.05179,                0.01585,                 3.1671,                 4.8922,                 2.8355,              0.0007921,              0.0007921,              0.0007921
                     23,                   2.62,                 2.6225,                 2.7724,                 0.5129,                0.08449,                 0.0824,                0.02757,                 2.8388,                 2.9338,                 2.6017,              0.0007822,              0.0007822,              0.0007822
                     24,                 2.6294,                  2.585,                 2.6987,                0.31541,                0.20612,                0.11225,                0.04051,                 2.8769,                 2.5686,                 2.3918,              0.0007723,              0.0007723,              0.0007723
                     25,                 2.6128,                 2.5892,                  2.714,                 0.3998,                0.25102,                 0.1521,                0.05924,                 2.5977,                 2.3618,                 2.2605,              0.0007624,              0.0007624,              0.0007624
                     26,                 2.5137,                 2.4647,                 2.5515,                0.29667,                0.25619,                0.13199,                0.04515,                  2.606,                 2.7694,                 2.4449,              0.0007525,              0.0007525,              0.0007525
                     27,                 2.4651,                 2.5364,                 2.6129,                0.31066,                0.26291,                0.16364,                0.07083,                  2.557,                 2.5554,                 2.4465,              0.0007426,              0.0007426,              0.0007426
                     28,                 2.4677,                 2.4414,                 2.5468,                0.35145,                0.23663,                0.16106,                 0.0675,                 2.6992,                 2.7141,                 2.5612,              0.0007327,              0.0007327,              0.0007327
                     29,                 2.4452,                 2.4095,                 2.5182,                0.36659,                 0.2268,                0.17982,                0.06247,                 2.7488,                  3.871,                 2.5907,              0.0007228,              0.0007228,              0.0007228
                     30,                 2.3764,                 2.3748,                 2.4516,                0.34762,                0.29037,                0.17657,                0.07303,                  2.539,                 2.4092,                 2.4815,              0.0007129,              0.0007129,              0.0007129
                     31,                 2.5011,                 2.4251,                 2.5141,                0.53361,                0.25715,                0.16471,                0.06415,                 2.6287,                 2.6433,                 2.6639,               0.000703,               0.000703,               0.000703
